품목코드,품종,품목,규격,단위, 개당단가 , 구입연도 ,구입일자,수량,구입가격,발주일자,입고일자,리드타임
AL-AFA-00001,석유화학제품,프로필렌,99.6%PG중합용,Ton," 1,248,000 ",2021,2021-03-23,46," 57,408,000 ",2021-03-05,2021-03-09,4
AL-AFB-00001,석유화학제품,부타디엔,1.3 부타디엔,Ton," 910,000 ",2021,2021-08-12,27," 24,570,000 ",2021-07-19,2021-08-08,20
AL-AFD-00001,석유화학제품,톨루엔,99%,Ton," 961,000 ",2021,2021-01-23,44," 42,284,000 ",2021-01-07,2021-06-14,158
AL-AFE-00001,석유화학제품,크실렌,99%용제용,Ton," 975,000 ",2021,2021-09-18,29," 28,275,000 ",2021-09-17,2021-10-17,30
AL-AFF-00001,석유화학제품,싸이클로핵산,99.8%,Ton," 1,923,700 ",2021,2021-06-23,4," 7,694,800 ",2021-06-14,2021-11-16,155
AL-AFG-00001,석유화학제품,테레프탈산,"4CBA, 25PPM이하",Ton," 805,000 ",2021,2021-06-03,37," 29,785,000 ",2021-05-08,2021-05-19,11
AL-AFH-00001,석유화학제품,에틸렌그리콜,MEG 99.9%,Ton," 1,100,000 ",2021,2021-06-20,15," 16,500,000 ",2021-06-11,2021-07-02,21
AL-AFI-00001,석유화학제품,PVC수지,사출용,Ton," 1,710,000 ",2021,2021-10-18,47," 80,370,000 ",2021-10-11,2021-11-08,28
AL-AFJ-00001,석유화학제품,HDPE,사출용,Ton," 1,560,000 ",2021,2021-12-06,22," 34,320,000 ",2021-11-24,2022-02-07,75
AL-AFK-00001,석유화학제품,PS,GPPS,Ton," 2,300,000 ",2021,2021-04-09,0, - ,2021-03-28,2021-05-19,52
AL-AFL-00001,석유화학제품,ABS,일반용 ,Ton," 2,600,000 ",2021,2021-02-20,17," 44,200,000 ",2021-02-04,2021-02-21,17
AL-AFM-00001,석유화학제품,PP,일반용 ,Ton," 1,450,000 ",2021,2021-05-26,46," 66,700,000 ",2021-05-13,2021-10-07,147
AL-AFN-00001,석유화학제품,PG,공업용 Buㅣk,Ton," 2,820,000 ",2021,2021-03-11,13," 36,660,000 ",2021-03-10,2021-05-07,58
AL-AFO-00001,석유화학제품,페놀수지,"KC-4300, 함침용",kg," 2,800 ",2021,2021-05-13,19," 53,200 ",2021-04-16,2021-05-04,18
AL-AFP-00001,석유화학제품,페놀,합성99% ,Ton," 1,720,000 ",2021,2021-02-14,4," 6,880,000 ",2021-01-17,2021-05-13,116
AL-AFQ-00001,석유화학제품,PE필름,0.03㎜×90㎝×183ｍ,R/L," 35,870 ",2021,2021-03-27,6," 215,220 ",2021-03-24,2021-05-07,44
AL-AFR-00001,석유화학제품,PP필름,0.03㎜×10㎝×457ｍ,R/L," 8,280 ",2021,2021-02-16,29," 240,120 ",2021-02-14,2021-02-27,13
AL-AFS-00001,석유화학제품,천연고무,RSS #3,kg," 3,000 ",2021,2021-06-02,40," 120,000 ",2021-05-19,2021-06-24,36
AL-AFT-00001,석유화학제품,SBR,#1502,Ton," 2,700,000 ",2021,2021-05-17,40," 108,000,000 ",2021-04-24,2021-05-30,36
AL-AFU-00001,석유화학제품,LATEX,KSL203 in drum,Ton," 2,970,000 ",2021,2021-05-24,22," 65,340,000 ",2021-05-06,2021-05-23,17
AL-AFV-00001,석유화학제품,아크릴판,5㎜  1200×1800㎜,매," 95,000 ",2021,2021-12-27,6," 570,000 ",2021-12-15,2022-03-22,97
AL-AFW-00001,석유화학제품,아크릴파이프,100Ø 8×1020㎜,EA," 93,000 ",2021,2021-01-18,9," 837,000 ",2021-01-08,2021-02-25,48
AL-AFX-00001,석유화학제품,PE판,15㎜ 1000×2000㎜,매," 120,000 ",2021,2021-01-09,6," 720,000 ",2021-01-04,2021-03-03,58
AM-AFY-00001,"가스,화공약품",염산,35% 공업용 25kg,통," 18,000 ",2021,2021-07-28,7," 126,000 ",2021-07-24,2022-01-04,164
AM-AFZ-00001,"가스,화공약품",질산,68% 공업용 25kg,통," 29,000 ",2021,2021-02-24,16," 464,000 ",2021-01-26,2021-03-31,64
AM-AGA-00001,"가스,화공약품",인산,85% 공업용 35kg,통," 300,000 ",2021,2021-08-20,7," 2,100,000 ",2021-08-12,2021-09-21,40
AM-AGB-00001,"가스,화공약품",황산,98%공업용 25kg,통," 18,000 ",2021,2021-03-20,25," 450,000 ",2021-03-02,2021-08-16,167
AM-AGC-00001,"가스,화공약품",가성소다,98% 고체 25kg,포," 47,000 ",2021,2021-06-28,36," 1,692,000 ",2021-06-08,2021-10-23,137
AM-AGD-00001,"가스,화공약품",소다회,"99%,중회(공업용) 25kg",포," 36,000 ",2021,2021-01-18,42," 1,512,000 ",2021-01-12,2021-01-19,7
AM-AGE-00001,"가스,화공약품",염화칼슘,74% 공업용 25kg,포," 16,000 ",2021,2021-11-25,43," 688,000 ",2021-11-21,2022-04-24,154
AM-AGF-00001,"가스,화공약품",암모니아수,"25%,18kg",통," 26,000 ",2021,2021-03-03,32," 832,000 ",2021-02-27,2021-08-14,168
AM-AGG-00001,"가스,화공약품",과산화수소,"35% 액상, 20kg",통," 39,000 ",2021,2021-01-22,31," 1,209,000 ",2021-01-12,2021-04-04,82
AM-AGH-00001,"가스,화공약품",산화크롬,98.5% 25kg,포," 648,000 ",2021,2021-09-01,31," 20,088,000 ",2021-08-25,2021-08-27,2
AM-AGI-00001,"가스,화공약품",산소,"99.99%액체가스,탱크로리 (1.14kg/ℓ)",ℓ, 470 ,2021,2021-06-09,44," 20,680 ",2021-05-22,2021-10-02,133
AM-AGJ-00001,"가스,화공약품",질소,"99.99%액체가스,탱크로리 (0.808kg/ℓ)",ℓ, 470 ,2021,2021-12-04,7," 3,290 ",2021-11-29,2021-12-09,10
AM-AGK-00001,"가스,화공약품",수소,"압축가스,99.9% 40L",병," 11,500 ",2021,2021-07-10,10," 115,000 ",2021-07-02,2021-12-14,165
AM-AGL-00001,"가스,화공약품",아세틸렌,98% 용접용 (1kg=853ℓ),kg," 16,000 ",2021,2021-07-16,41," 656,000 ",2021-06-27,2021-08-23,57
AN-AGM-00001,섬유제품,면솜,상품 3.75kg (목화솜),kg," 18,100 ",2021,2021-06-11,33," 597,300 ",2021-05-22,2021-07-06,45
AN-AGN-00001,섬유제품,화학솜,중품 3.75kg(열처리됨),kg," 9,400 ",2021,2021-07-23,0, - ,2021-07-22,2021-12-08,139
AN-AGO-00001,섬유제품,혼방면사,30번수단사 (코마) 65/35,kg," 5,787 ",2021,2021-08-22,13," 75,231 ",2021-08-03,2021-11-11,100
AN-AGP-00001,섬유제품,폴리에스테르F사,75D/36수 SD                                              ,kg," 2,330 ",2021,2021-11-08,42," 97,860 ",2021-11-07,2021-12-30,53
AN-AGQ-00001,섬유제품,아세테이트사,75D                                                                        ,kg," 7,070 ",2021,2021-05-01,46," 325,220 ",2021-04-16,2021-10-10,177
AN-AGR-00001,섬유제품,폴리에스테르DTY,150 D/SD A급                                                        ,kg," 2,330 ",2021,2021-08-07,10," 23,300 ",2021-07-11,2021-07-17,6
AN-AHQ-00001,섬유제품,아크릴사,32번수 단사 아크릴,kg," 6,238 ",2021,2021-04-22,25," 155,950 ",2021-03-31,2021-05-15,45
AO-AGT-00001,용지,중질지,70g/㎡4×6판                                         ,연," 37,230 ",2021,2021-02-15,0, - ,2021-01-23,2021-06-21,149
AO-AGU-00001,용지,백상지,70g/㎡4×6판                             ,연," 48,510 ",2021,2021-11-09,29," 1,406,790 ",2021-11-08,2022-04-12,155
AO-AGV-00001,용지,아트지,100g/㎡4×6판(양면)                 ,연," 65,650 ",2021,2021-02-07,46," 3,019,900 ",2021-02-01,2021-06-14,133
AO-AGW-00001,용지,박엽지,평량25g(식품포장용),Ton," 2,400,000 ",2021,2021-08-05,33," 79,200,000 ",2021-08-04,2022-01-08,157
AO-AGX-00001,용지,종이컵지,평량230g,Ton," 1,365,000 ",2021,2021-11-25,16," 21,840,000 ",2021-11-22,2022-01-30,69
AO-AGY-00001,용지,마니라판지,비코팅 200g/㎡4×6판             ,연," 106,140 ",2021,2021-09-14,35," 3,714,900 ",2021-09-05,2021-12-09,95
AO-AGZ-00001,용지,백크라프트지,75∼120g/㎡                             ,Ton," 2,040,000 ",2021,2021-03-12,17," 34,680,000 ",2021-03-06,2021-04-19,44
AO-AHA-00001,용지,골판지원지,KA180g/㎡                                ,Ton," 640,000 ",2021,2021-08-21,27," 17,280,000 ",2021-08-15,2021-11-29,106
AO-AHB-00001,용지,알루미늄박지,(7∼15μ)×100㎜                         ,kg," 6,500 ",2021,2021-06-17,41," 266,500 ",2021-06-10,2021-06-20,10
AO-AHC-00001,용지,전산지,백색평량70g/㎡                         ,Ton," 1,684,620 ",2021,2021-06-21,15," 25,269,300 ",2021-06-12,2021-08-18,67
AP-AHD-00001,사무용품,컴퓨터본체,DM500S9Z-AD7BA,대," 980,000 ",2021,2021-07-01,3," 2,940,000 ",2021-06-06,2021-11-29,176
AP-AHE-00001,사무용품,컬러레이져프린터,CLP-365W                                                                ,대," 215,000 ",2021,2021-11-03,24," 5,160,000 ",2021-10-09,2022-01-11,94
AP-AHF-00001,사무용품,CD-R,LG 700MB 52X 50장 벌크,EA," 11,000 ",2021,2021-11-22,40," 440,000 ",2021-11-06,2022-03-13,127
AP-AHG-00001,사무용품,팩시밀리,FAX L150,대," 277,000 ",2021,2021-12-21,30," 8,310,000 ",2021-12-10,2021-12-30,20
AP-AHH-00001,사무용품,L형 데스크,SD316R 1600×1200×720mm,EA," 425,000 ",2021,2021-01-24,38," 16,150,000 ",2021-01-23,2021-05-03,100
AP-AHI-00001,사무용품,회전의자(가죽),CH3100 685×665×1200~1270mm                           ,EA," 1,306,000 ",2021,2021-12-08,37," 48,322,000 ",2021-12-02,2021-12-13,11
AA-AAA-00001,철강재,원형봉강,SS275 16㎜,kg," 1,260 ",2022,2022-11-05,19," 23,940 ",2022-10-14,2022-11-08,25
AA-AAC-00001,철강재,고장력철근,SD400 D10㎜,M/T," 1,065,000 ",2022,2022-07-21,31," 33,015,000 ",2022-07-06,2022-10-22,108
AA-AHR-00001,철강재,초고장력철근,SD500 D10㎜,M/T," 1,095,000 ",2022,2022-10-13,45," 49,275,000 ",2022-10-07,2023-02-08,124
AA-AAD-00001,철강재,등변ㄱ형강(소형),65×65×6㎜,kg," 1,260 ",2022,2022-01-21,39," 49,140 ",2021-12-24,2022-05-15,142
AA-AAE-00001,철강재,ㄷ형강,100×50×5㎜,kg," 1,260 ",2022,2022-05-17,49," 61,740 ",2022-04-24,2022-10-03,162
AA-AAF-00001,철강재,4각강,12㎜,kg," 1,260 ",2022,2022-07-23,6," 7,560 ",2022-06-28,2022-07-30,32
AA-AAG-00001,철강재,평강,4.5t×50㎜,kg," 1,260 ",2022,2022-02-25,10," 12,600 ",2022-02-13,2022-07-01,138
AA-AAH-00001,철강재,구조용H형강,"100×100×6×8㎜(압연,중형)",M/T," 1,330,000 ",2022,2022-11-17,40," 53,200,000 ",2022-11-11,2023-01-24,74
AA-AAI-00001,철강재,열연박판,"SS275 1.4≤T≤1.6㎜ (1,219×2.438)",kg," 1,220 ",2022,2022-09-16,20," 24,400 ",2022-09-02,2022-11-28,87
AA-AAJ-00001,철강재,열연후판,"SS275 12.0㎜≤T≤20.0㎜(2,438×6029)",kg," 1,290 ",2022,2022-05-24,12," 15,480 ",2022-05-13,2022-06-07,25
AA-AAK-00001,철강재,냉연강판,CR(SCP1) 1.0㎜≤T<1.75㎜,kg," 1,290 ",2022,2022-02-07,9," 11,610 ",2022-02-04,2022-06-12,128
AA-AAL-00001,철강재,전기아연도강판,"0.35㎜ ≤T〈0.4 ㎜((914×1,829)",매," 6,990 ",2022,2022-01-13,48," 335,520 ",2021-12-28,2022-04-25,118
AA-AAM-00001,철강재,아연도강판,"T≤0.20㎜ (914×1,829)",매," 4,690 ",2022,2022-04-13,46," 215,740 ",2022-04-05,2022-08-31,148
AA-AAN-00001,철강재,석도강판,0.25×5.6/5.6(50×50),M/T," 2,441,000 ",2022,2022-02-25,4," 9,764,000 ",2022-01-28,2022-04-03,65
AA-AAO-00001,철강재,구조용탄소강관(백관),76.3×3.2mm,m," 9,980 ",2022,2022-04-16,11," 109,780 ",2022-03-25,2022-07-09,106
AA-AAP-00001,철강재,보통철선,#10   3.2㎜,kg," 1,390 ",2022,2022-12-15,28," 38,920 ",2022-12-04,2023-03-31,117
AA-AAQ-00001,철강재,소철선(어닐링),＃6   4.0㎜,kg," 1,460 ",2022,2022-01-14,41," 59,860 ",2021-12-23,2022-03-13,80
AA-AAR-00001,철강재,아연도철선,1종 #8   4.0㎜,kg," 1,710 ",2022,2022-05-28,38," 64,980 ",2022-05-27,2022-08-07,72
AA-AAS-00001,철강재,경강선,선경 1.0∼1.19㎜,kg," 2,760 ",2022,2022-11-03,15," 41,400 ",2022-10-31,2023-01-02,63
AA-AAT-00001,철강재,PC강선2종,단선12.7ø단중0.785/m,kg," 2,010 ",2022,2022-06-24,33," 66,330 ",2022-06-17,2022-10-11,116
AA-AAU-00001,철강재,와이어로프,6×24(도금)마심 10㎜,m," 1,350 ",2022,2022-12-08,23," 31,050 ",2022-12-04,2023-02-25,83
AA-AAV-00001,철강재,철못,N25   23kg(일반용),Box," 40,460 ",2022,2022-08-02,35," 1,416,100 ",2022-07-20,2022-08-07,18
AA-AAW-00001,철강재,육각볼트,M6×20㎜,EA, 24 ,2022,2022-08-17,22, 528 ,2022-07-19,2022-07-22,3
AB-AAX-00001,특수강재,스테인리스강판(STS304 2B),STS304 2.0mm,M/T," 4,300,000 ",2022,2022-09-24,20," 86,000,000 ",2022-09-12,2022-12-22,101
AB-AAY-00001,특수강재,스테인리스선(STS304),0.3㎜,kg," 9,550 ",2022,2022-01-28,42," 401,100 ",2022-01-17,2022-05-20,123
AB-AAZ-00001,특수강재,구조용스테인리스관(원형),STS304 12.7×1.0㎜(0.291kg/m),m," 3,000 ",2022,2022-07-28,41," 123,000 ",2022-07-09,2022-10-10,93
AB-ABA-00001,특수강재,회주철품(KSD4301),GC-200,kg," 3,750 ",2022,2022-10-06,49," 183,750 ",2022-09-12,2023-03-02,171
AB-ABB-00001,특수강재,기계구조용탄소강,SMxxC Φ25∼250,kg," 1,940 ",2022,2022-05-06,28," 54,320 ",2022-04-21,2022-09-09,141
AC-ABC-00001,비철제품,동판(1종),0.5㎜×400㎜×1200㎜(KSD 5201),kg," 14,630 ",2022,2022-10-22,4," 58,520 ",2022-10-04,2023-01-07,95
AC-ABD-00001,비철제품,동봉,두께 6.1∼10㎜,kg," 16,220 ",2022,2022-11-09,24," 389,280 ",2022-10-31,2023-03-28,148
AC-ABE-00001,비철제품,동선,7.0∼12.9㎜(경질AA급),kg," 15,470 ",2022,2022-01-28,36," 556,920 ",2022-01-26,2022-07-01,156
AC-ABF-00001,비철제품,황동판(2종),"0.5×400×1,200㎜",kg," 11,880 ",2022,2022-01-02,25," 297,000 ",2021-12-18,2022-05-10,143
AC-ABG-00001,비철제품,전기동,99.99% 이상,Ton," 11,980,000 ",2022,2022-05-13,17," 203,660,000 ",2022-04-21,2022-07-24,94
AC-ABH-00001,비철제품,알루미늄괴,V-INGOT(중국제),Ton," 4,006,800 ",2022,2022-08-14,49," 196,333,200 ",2022-08-07,2022-09-03,27
AC-ABI-00001,비철제품,니켈,99.9%이상 ,kg," 36,500 ",2022,2022-11-28,25," 912,500 ",2022-11-06,2023-01-13,68
AC-ABJ-00001,비철제품,카드뮴,99.9%이상 (합금용),kg," 5,000 ",2022,2022-09-27,7," 35,000 ",2022-09-14,2022-09-25,11
AC-ABK-00001,비철제품,전기아연,99.995%(ＳＨＧ),Ton," 5,048,780 ",2022,2022-11-16,18," 90,878,040 ",2022-10-28,2023-02-14,109
AC-ABL-00001,비철제품,전기연,99.99%이상,Ton," 3,538,280 ",2022,2022-07-27,32," 113,224,960 ",2022-06-27,2022-08-27,61
AC-ABM-00001,비철제품,주석(석괴),99.99%이상,kg," 32,000 ",2022,2022-06-02,14," 448,000 ",2022-05-16,2022-11-08,176
AC-ABN-00001,비철제품,망간,99.98%이상,kg," 4,200 ",2022,2022-02-24,8," 33,600 ",2022-02-22,2022-06-04,102
AC-ABO-00001,비철제품,연판,"1㎜× 909×1,818㎜",매," 78,000 ",2022,2022-11-04,20," 1,560,000 ",2022-11-03,2023-04-29,177
AC-ABP-00001,비철제품,봉납땜,Sn 50%,kg," 35,000 ",2022,2022-04-12,36," 1,260,000 ",2022-04-12,2022-09-08,149
AC-ABQ-00001,비철제품,알루미늄판,"0.4㎜ 400×1,200㎜(A1235)",kg," 5,440 ",2022,2022-05-06,12," 65,280 ",2022-04-14,2022-06-02,49
AC-ABR-00001,비철제품,알루미늄관,22×1.0㎜×3m,본," 3,760 ",2022,2022-09-07,20," 75,200 ",2022-08-16,2022-12-09,115
AD-ABS-00001,골재 / 목재,모래,"江모래, 시내도착도                       ",㎥," 36,000 ",2022,2022-05-23,27," 972,000 ",2022-05-16,2022-10-23,160
AD-ABT-00001,골재 / 목재,자연자갈,#57 25mm시내도착도,㎥," 30,000 ",2022,2022-10-26,15," 450,000 ",2022-10-19,2022-12-31,73
AD-ABU-00001,골재 / 목재,쇄석자갈,#467 40mm시내도착도,㎥," 29,000 ",2022,2022-09-18,48," 1,392,000 ",2022-09-07,2022-10-13,36
AD-ABV-00001,골재 / 목재,시멘트(보통),40kg (포장품)                                                           ,포," 6,800 ",2022,2022-07-05,12," 81,600 ",2022-07-05,2022-09-22,79
AD-ABW-00001,골재 / 목재,백시멘트,40kg /NET                                                                ,포," 15,000 ",2022,2022-01-25,34," 510,000 ",2022-01-11,2022-07-09,179
AD-ABX-00001,골재 / 목재,타일시멘트,"줄눈용백색.ISO인증, KS인증  25kg",포," 5,200 ",2022,2022-11-14,12," 62,400 ",2022-10-17,2022-11-27,41
AD-ABY-00001,골재 / 목재,레미콘,25㎜ 18MPa×80mm,㎥," 75,860 ",2022,2022-06-28,50," 3,793,000 ",2022-06-22,2022-07-30,38
AD-ABZ-00001,골재 / 목재,미송각재,30×30×3600mm,재," 2,700 ",2022,2022-09-27,44," 118,800 ",2022-09-19,2023-02-02,136
AD-ACA-00001,골재 / 목재,외송각재,30×30×3600mm,재," 2,400 ",2022,2022-06-16,26," 62,400 ",2022-06-16,2022-07-21,35
AD-ACB-00001,골재 / 목재,나왕각재,45×90×3600mm,재," 6,500 ",2022,2022-10-23,20," 130,000 ",2022-09-29,2023-03-12,164
AD-ACC-00001,골재 / 목재,미송판재,30×300×3600mm,재," 3,000 ",2022,2022-09-20,16," 48,000 ",2022-09-05,2023-01-20,137
AD-ACD-00001,골재 / 목재,외송판재,30×300×3600mm,재," 2,700 ",2022,2022-07-19,31," 83,700 ",2022-06-28,2022-12-12,167
AD-ACE-00001,골재 / 목재,나왕판재,30×300×3600mm(상품),재," 7,000 ",2022,2022-07-13,3," 21,000 ",2022-07-03,2022-09-08,67
AE-ACF-00001,토목자재,스트레이트아스팔트,AP-3 침입도 80∼100㎜,kg, 910 ,2022,2022-06-17,36," 32,760 ",2022-05-19,2022-06-18,30
AE-ACG-00001,토목자재,아스콘,#467기층용,M/T," 70,000 ",2022,2022-10-15,23," 1,610,000 ",2022-09-19,2022-11-24,66
AE-ACH-00001,토목자재,보차도경계석,직선200×250×1000㎜                      ,EA," 29,520 ",2022,2022-07-12,20," 590,400 ",2022-06-30,2022-12-09,162
AE-ACI-00001,토목자재,보차도용콘크리트조립블록,소형고압블록U형 220×110×60(회색),㎡," 10,500 ",2022,2022-10-13,36," 378,000 ",2022-09-16,2022-11-03,48
AE-ACJ-00001,토목자재,콘크리트보차도경계블록,KSF4006 B형 18×20.5×25×100㎜,EA," 7,600 ",2022,2022-06-18,24," 182,400 ",2022-06-17,2022-09-04,79
AE-ACK-00001,토목자재,U형블록,222×110.5×60 회색,㎡," 8,500 ",2022,2022-05-12,18," 153,000 ",2022-05-03,2022-10-07,157
AE-ACL-00001,토목자재,돌망태,"사각개비온, 아연도금철선(4종)￠4.0mm, 2.0*1.0*1.0m",조," 94,900 ",2022,2022-10-19,19," 1,803,100 ",2022-10-07,2023-01-23,108
AE-ACM-00001,토목자재,흄관,500×42㎜(보통관),본," 103,740 ",2022,2022-03-17,32," 3,319,680 ",2022-03-07,2022-03-20,13
AE-ACN-00001,토목자재,콘크리트파일(PHC PILE),400×65×10m(A종),본," 302,000 ",2022,2022-04-03,15," 4,530,000 ",2022-03-30,2022-07-25,117
AE-ACO-00001,토목자재,V.R관,400mm×60mm(보통관A형 2종),본," 62,800 ",2022,2022-05-28,7," 439,600 ",2022-05-01,2022-07-14,74
AE-ACP-00001,토목자재,U형강널말뚝,400×150×13㎜(재질 SY300),M/T," 1,400,000 ",2022,2022-11-06,33," 46,200,000 ",2022-10-19,2023-01-12,85
AE-ACQ-00001,토목자재,산업용화약,뉴마이트플러스Ⅰ 25mm  20kg/Box,Box," 74,200 ",2022,2022-04-05,41," 3,042,200 ",2022-03-17,2022-06-11,86
AF-ACR-00001,건축자재,콘크리트벽돌,190×90×57㎜ KS,매, 80 ,2022,2022-07-21,8, 640 ,2022-07-13,2022-09-19,68
AF-ACS-00001,건축자재,콘크리트블록,B-6 150×190×390㎜ KS,매, 800 ,2022,2022-07-19,4," 3,200 ",2022-06-25,2022-08-12,48
AF-ACT-00001,건축자재,점토벽돌,190×90×57㎜,매, 480 ,2022,2022-04-19,12," 5,760 ",2022-04-12,2022-09-14,155
AF-ACU-00001,건축자재,대리석,"평창대리석, 벽체용 20T(물갈기)",㎡," 140,000 ",2022,2022-07-16,21," 2,940,000 ",2022-06-21,2022-11-25,157
AF-ACV-00001,건축자재,화강석,포천석 (A급) 원석,재," 9,000 ",2022,2022-12-04,2," 18,000 ",2022-11-22,2023-02-15,85
AF-ACW-00001,건축자재,석재타일,"자기질, GN 150x150x15T",㎡," 31,000 ",2022,2022-12-12,31," 961,000 ",2022-11-19,2022-12-12,23
AF-ACX-00001,건축자재,외장타일,"200×200×9T(파스텔,무유,일반컬러)",㎡," 39,000 ",2022,2022-02-07,44," 1,716,000 ",2022-01-28,2022-05-28,120
AF-ACY-00001,건축자재,아스팔트루핑,"루핑 25kg, 1m×21m, KSF 4902",R/L," 50,000 ",2022,2022-09-08,23," 1,150,000 ",2022-08-21,2022-11-27,98
AF-ACZ-00001,건축자재,그을림점토기와,"한식그을림기와(중와)여와, 360×300×21",매," 2,080 ",2022,2022-11-15,6," 12,480 ",2022-11-01,2023-04-21,171
AF-AHS-00001,건축자재,아스팔트펠트,펠트440품 20kg 1m×42m KSF 4901,R/L," 57,000 ",2022,2022-11-02,20," 1,140,000 ",2022-10-18,2023-02-14,119
AF-ADB-00001,건축자재,플라스틱창문틀,"115 미서기창115×1000×1000(양면색상, 유리 16T)",Set," 87,980 ",2022,2022-12-22,34," 2,991,320 ",2022-12-10,2023-05-14,155
AF-ADC-00001,건축자재,알루미늄새시,프로로폰(불소코팅)에버그린,kg," 10,900 ",2022,2022-01-27,33," 359,700 ",2022-01-15,2022-02-23,39
AF-ADD-00001,건축자재,판유리,"맑은유리,5mm 152.4×304.8㎝",㎡," 9,530 ",2022,2022-05-15,36," 343,080 ",2022-04-27,2022-07-22,86
AF-ADE-00001,건축자재,수성도료(수성),"KSM6010 2종 2급, 백색, 내부용 18ℓ",통," 75,500 ",2022,2022-04-05,39," 2,944,500 ",2022-04-03,2022-07-25,113
AF-ADF-00001,건축자재,유성도료(조합),"KSM6020 1종 1급, 백색, 18ℓ",통," 221,000 ",2022,2022-11-10,38," 8,398,000 ",2022-10-18,2023-04-08,172
AF-ADG-00001,건축자재,도로용페인트,"KSM6080 3종 가열형(백색), 18ℓ",통," 97,000 ",2022,2022-12-24,10," 970,000 ",2022-11-29,2022-12-05,6
AF-ADH-00001,건축자재,유성도료(에나멜),"KSM6020  2종, 1급, 백색, 18ℓ",통," 119,350 ",2022,2022-03-10,1," 119,350 ",2022-02-12,2022-04-07,54
AF-ADI-00001,건축자재,비닐시트바닥재(숲),블루 2.0T× 1830mm,㎡," 16,000 ",2022,2022-06-14,41," 656,000 ",2022-06-12,2022-08-12,61
AF-ADJ-00001,건축자재,디럭스타일,LX 3.0×300×300㎜,㎡," 9,200 ",2022,2022-01-13,46," 423,200 ",2021-12-24,2022-06-08,166
AF-ADK-00001,건축자재,스티로폼,1호 10×900×1800㎜,매," 1,940 ",2022,2022-03-02,14," 27,160 ",2022-02-12,2022-07-17,155
AF-AHT-00001,건축자재,유리섬유단열재,#64K(밀도) 50mm 1m×2m,㎡," 10,400 ",2022,2022-06-19,19," 197,600 ",2022-05-30,2022-07-27,58
AF-ADM-00001,건축자재,합판,(내수합판)12㎜×1220×2440㎜(4′×8′),매," 33,500 ",2022,2022-07-08,28," 938,000 ",2022-06-12,2022-11-01,142
AF-ADN-00001,건축자재,마이텍스,12mm×300×600,㎡," 9,000 ",2022,2022-04-19,34," 306,000 ",2022-04-18,2022-05-28,40
AF-ADO-00001,건축자재,일반석고보드,9.5×900×1800㎜,매," 4,700 ",2022,2022-04-05,24," 112,800 ",2022-03-28,2022-07-12,106
AG-ADP-00001,배관설비재,배관용탄소강관(SPP),20㎜ 반제품 KS(흑관),m," 2,270 ",2022,2022-09-18,27," 61,290 ",2022-09-18,2022-11-12,55
AG-ADP-00001,배관설비재,배관용탄소강관(SPP),20㎜ 반제품 KS(백관),m," 3,020 ",2022,2022-03-19,15," 45,300 ",2022-02-25,2022-08-23,179
AG-ADQ-00001,배관설비재,공업배관용스테인리스관,STS 304 TP-A  호칭 15A 두께 2.0t -KSD3576-,m," 6,830 ",2022,2022-10-28,40," 273,200 ",2022-10-19,2023-01-14,87
AG-ADR-00001,배관설비재,폴리부틸렌(PB)파이프,"급수,급탕관(직관,롤관) 15mm",m, 960 ,2022,2022-10-19,37," 35,520 ",2022-10-08,2022-10-20,12
AG-ADS-00001,배관설비재,PVC파이프,수도용직관 20㎜×4m,본," 4,040 ",2022,2022-06-25,42," 169,680 ",2022-06-13,2022-09-16,95
AG-ADT-00001,배관설비재,동파이프,L-TYPE 15A 15.88㎜   0.426kg/m,m," 6,620 ",2022,2022-09-11,37," 244,940 ",2022-09-07,2022-11-19,73
AG-ADU-00001,배관설비재,수도용폴리에틸렌관,SDR11 PE80 무공관 20mm,m, 800 ,2022,2022-01-27,6," 4,800 ",2022-01-12,2022-02-19,38
AG-ADV-00001,배관설비재,가스관,PLP 가스관  150A ,m," 53,590 ",2022,2022-01-26,30," 1,607,700 ",2022-01-20,2022-02-26,37
AG-ADW-00001,배관설비재,가단주철제관이음쇠(흑관),나사식소켓 15mm ,EA, 760 ,2022,2022-11-06,3," 2,280 ",2022-10-23,2022-11-24,32
AG-ADX-00001,배관설비재,동관이음쇠(KSD5578),90도 엘보 65mm  외경 66.68mm,EA," 25,830 ",2022,2022-03-02,26," 671,580 ",2022-02-19,2022-02-21,2
AH-ADY-00001,밸브류,청동제밸브,게이트 15㎜   5kg/㎠,EA," 11,310 ",2022,2022-10-19,50," 565,500 ",2022-09-27,2023-02-24,150
AH-ADZ-00001,밸브류,주철제밸브,게이트 80㎜  10kg/㎠,EA," 112,130 ",2022,2022-01-23,39," 4,373,070 ",2022-01-01,2022-05-31,150
AH-AEA-00001,밸브류,주강제밸브,게이트 80㎜  10kg/㎠,EA," 413,600 ",2022,2022-10-14,41," 16,957,600 ",2022-10-04,2023-03-02,149
AQ-AHJ-00001,위생기재,대변기,서양식탱크 일체형사이펀변기(하이형) 2020C,조," 230,000 ",2022,2022-02-19,8," 1,840,000 ",2022-02-05,2022-07-19,164
AR-AHK-00001,보일러·연소기 ,가스보일러,S-LINE 와인콘덴싱 16000Kcal/h,대," 550,000 ",2022,2022-09-24,41," 22,550,000 ",2022-09-24,2023-02-01,130
